Name,SMILES,BA_APO_C1,BA_APO_C2,BA_APO_C3,BA_APO_C4,BA_APO_C5,BA_ATP_C1,Common,Predicted_Mtb_perm,Cytotoxicity HaCat cell line,Cytotoxicity NIH 3T3 cell line,Cytotoxicity HEK 293 cell line,Cytotoxicity HepG2 cell line,Cytotoxicity CRL-7250 cell line,qed_score,sc_score,LogP
curia1210,CC(=O)N1CCC(CC1)[C@H]1OC(=O)N2CCN(Cc3cccc(F)c3C)C[C@H]12,-8.715,-8.094,,-6.927,-7.607,,common_04,1,"('Inactive', '0.86', '0.38')","('Inactive', '0.96', '0.59')","('Inactive', '0.79', '0.32')","('N', '0.85', '0.28')","('Inactive', '0.87', '0.46')",0.7967125143,4.280523489,2.39762
curia7632,Cn1c(nc2cc(ccc12)C1CC1)C1CCN(CC1)C(=O)Cc1c(F)cccc1,-8.706,-8.667,,,-8.061,-8.965,common_04,1,"('Inactive', '0.85', '0.30')","('Inactive', '0.81', '0.20')","('Inactive', '0.94', '0.42')","('N', '0.82', '0.25')","('Inactive', '0.78', '0.23')",0.6549443437,4.6461732,4.5385
curia4917,CC1(C)C(=O)N(CCN2CCCC2)c2nnc(cc12)c1cc(F)cc(Cl)c1,-8.674,,,-6.901,-7.515,-9.242,common_04,1,"('Inactive', '0.85', '0.32')","('Inactive', '0.82', '0.23')","('Inactive', '0.89', '0.37')","('N', '0.82', '0.25')","('Inactive', '0.96', '0.50')",0.8016591381,4.630597306,3.6561
curia0443,CCc1ccc(cc1)C(=O)N1[C@H]2CC[C@@H]1C[C@@]1(C2)NC(=O)N(C1=O)c1cc(ccc1)C(=O)NC,-8.647,-8.466,-8.143,,-8.234,,common_04,1,"('Inactive', '0.82', '0.29')","('Inactive', '0.86', '0.29')","('Inactive', '0.84', '0.36')","('N', '0.83', '0.27')","('Inactive', '0.84', '0.29')",0.685722564,4.773404915,2.8708
curia8376,CNC(=O)c1cccc(O[C@H]2CN(C[C@H]2n2ccnn2)C(=O)Nc2ccccc2Cl)c1,-8.631,-7.495,-8.097,,-8.154,,common_04,1,"('Inactive', '0.92', '0.38')","('Inactive', '0.85', '0.27')","('Inactive', '0.82', '0.29')","('N', '0.83', '0.25')","('Inactive', '0.92', '0.41')",0.6348782686,4.54454092,2.8275
curia3760,Cc1cc(NC(=O)C[C@@H]2CCC[C@@H](N2)c2ccccc2)ccc1F,-8.61,-7.743,,,-7.408,-8.552,common_04,1,"('Inactive', '0.86', '0.35')","('Inactive', '0.91', '0.47')","('Inactive', '0.89', '0.46')","('N', '0.82', '0.27')","('Inactive', '0.85', '0.39')",0.8770167426,3.776565248,4.34612
curia1299,Fc1cc(ccc1)C(=O)N1CCC2(CC1)OC(=O)N1CCN(CC3CCOCC3)CC21,-8.553,-9.249,,-6.908,,-8.793,common_04,1,"('Inactive', '0.79', '0.25')","('Inactive', '0.96', '0.62')","('Inactive', '0.84', '0.32')","('N', '0.87', '0.30')","('Inactive', '0.81', '0.30')",0.7354537461,4.460256513,2.3635
curia2075,Fc1cc(Cl)cc(c1)c1cc2c(OCC3(CCN(C3)C(=O)C3CC3)O2)nc1,-8.538,,-7.279,-6.97,,-8.826,common_04,1,"('Inactive', '0.89', '0.34')","('Inactive', '0.84', '0.21')","('Inactive', '0.79', '0.31')","('N', '0.88', '0.32')","('Inactive', '0.88', '0.37')",0.7868899931,4.406884572,3.6934
curia2030,COc1ccc2n([C@H]3CC[C@@H](CC3)NC(=O)Cc3c(F)cccc3)c(=O)[nH]c2c1,-8.529,,-8.027,,-7.696,-8.304,common_04,1,"('Inactive', '0.80', '0.26')","('Inactive', '0.84', '0.24')","('Inactive', '0.87', '0.34')","('N', '0.85', '0.28')","('Inactive', '0.81', '0.24')",0.6934911466,3.749487913,3.3199
curia1289,Cc1cc(CC(=O)N2CCN3C(C2)C2(CN(Cc4ccccc4)C2)OC3=O)c(C)cc1,-8.526,,-7.881,-6.743,,-9.412,common_04,1,"('Inactive', '0.81', '0.28')","('Inactive', '0.86', '0.29')","('Inactive', '0.87', '0.43')","('N', '0.80', '0.23')","('Inactive', '0.85', '0.40')",0.7648565342,3.801006226,2.76354
