Name,Affinity
dds5_enamine23706,-6.282
hinge_enamine19723,-7.004
dds1_enamine10181,-7.351
dds5_enamine21651,-7.46
dds5_enamine31249,-6.108
ab_enamine22278,-7.059
dds5_enamine36266,-7.003
hinge_enamine19465,-7.631
dds1_enamine871,-8.28
ab_enamine7091,-6.957
dds5_enamine6123,-8.52
hinge_enamine4348,-7.767
dds5_enamine2500,-7.431
ab_enamine26007,-7.172
dds1_enamine1554,-7.823
ab_enamine697,-7.465
hinge_enamine8094,-7.927
dds5_enamine14090,-8.261
dds5_enamine26581,-8.048
dds5_enamine13032,-8.765
dds5_enamine8940,-7.098
dds5_enamine28728,-7.788
dds5_enamine49044,-7.096
dds5_enamine24209,-7.163
psl_enamine4380,-7.493
dds5_enamine8919,-7.121
hinge_enamine21178,-7.73
ab_enamine10992,-7.436
ab_enamine26881,-7.213
ab_enamine8882,-6.593
dds5_enamine32085,-7.326
ab_enamine17582,-6.844
hinge_enamine6600,-7.453
dds5_enamine8501,-7.621
ab_enamine23013,-6.913
dds5_enamine15624,-9.195
dds1_enamine5668,-6.642
ab_enamine27947,-8.068
psl_enamine1988,-7.602
dds1_enamine2792,-6.779
dds5_enamine41045,-6.431
ab_enamine10278,-7.279
dds5_enamine21107,-7.737
ab_enamine22276,-7.831
ab_enamine10650,-6.919
ab_enamine2408,-7.039
dds5_enamine1887,-7.185
ab_enamine9344,-6.649
hinge_enamine628,-6.707
dds5_enamine47747,-7.128
hinge_enamine6037,-7.108
hinge_enamine22115,-6.752
ab_enamine19763,-8.024
dds5_enamine48396,-7.946
ab_enamine12464,-7.183
dds5_enamine10360,-7.843
dds5_enamine48777,-7.085
ab_enamine14574,-7.552
dds5_enamine6044,-6.546
dds5_enamine49848,-7.528
dds5_enamine32179,-6.897
ab_enamine15091,-7.857
ab_enamine11704,-6.646
ab_enamine12393,-6.961
dds5_enamine38172,-7.659
ab_enamine2898,-6.528
dds5_enamine24767,-7.647
ab_enamine12159,-6.618
ab_enamine16670,-7.257
psl_enamine2906,-6.331
ab_enamine23924,-6.804
dds5_enamine32213,-6.993
dds5_enamine10310,-7.756
dds5_enamine22680,-7.192
ab_enamine28503,-8.124
ab_enamine21845,-7.252
ab_enamine12367,-6.762
dds5_enamine36897,-7.131
hinge_enamine20302,-7.284
dds5_enamine5671,-5.957
dds5_enamine24920,-7.329
dds1_enamine8099,-6.599
dds1_enamine4532,-7.164
dds1_enamine7199,-7.71
hinge_enamine4380,-6.983
dds5_enamine29047,-6.78
ab_enamine11404,-7.595
hinge_enamine9855,-7.178
ab_enamine6818,-6.548
hinge_enamine1996,-9.293
ab_enamine17368,-6.623
